X	X0	ensg	hgnc_symbol	chromosome_name
ENSG00000049246	151	ENSG00000049246_PER3	ENSG00000049246	PER3	1
ENSG00000236266	152	ENSG00000236266_RP3-467L1.4	ENSG00000236266		1
ENSG00000049247	153	ENSG00000049247_UTS2	ENSG00000049247	UTS2	1
ENSG00000049249	154	ENSG00000049249_TNFRSF9	ENSG00000049249	TNFRSF9	1
ENSG00000116288	155	ENSG00000116288_PARK7	ENSG00000116288	PARK7	1
ENSG00000116285	156	ENSG00000116285_ERRFI1	ENSG00000116285	ERRFI1	1
ENSG00000238290	157	ENSG00000238290_RP11-431K24.1	ENSG00000238290		1
ENSG00000227634	158	ENSG00000227634_RP11-431K24.3	ENSG00000227634	LINC01714	1
ENSG00000233645	159	ENSG00000233645_RP11-431K24.4	ENSG00000233645		1
ENSG00000142599	160	ENSG00000142599_RERE	ENSG00000142599	RERE	1
ENSG00000232912	161	ENSG00000232912_RP5-1115A15.1	ENSG00000232912	RERE-AS1	1
ENSG00000228423	162	ENSG00000228423_RP4-633I8.4	ENSG00000228423		1
ENSG00000074800	163	ENSG00000074800_ENO1	ENSG00000074800	ENO1	1
ENSG00000230679	164	ENSG00000230679_ENO1-AS1	ENSG00000230679	ENO1-AS1	1
ENSG00000131686	165	ENSG00000131686_CA6	ENSG00000131686	CA6	1
ENSG00000180758	166	ENSG00000180758_GPR157	ENSG00000180758	GPR157	1
ENSG00000049239	167	ENSG00000049239_H6PD	ENSG00000049239	H6PD	1
ENSG00000171621	168	ENSG00000171621_SPSB1	ENSG00000171621	SPSB1	1
ENSG00000171612	169	ENSG00000171612_SLC25A33	ENSG00000171612	SLC25A33	1
ENSG00000188807	170	ENSG00000188807_TMEM201	ENSG00000188807	TMEM201	1
ENSG00000171608	171	ENSG00000171608_PIK3CD	ENSG00000171608	PIK3CD	1
ENSG00000179840	172	ENSG00000179840_C1orf200	ENSG00000179840	PIK3CD-AS1	1
ENSG00000231789	173	ENSG00000231789_RP11-558F24.4	ENSG00000231789	PIK3CD-AS2	1
ENSG00000171603	174	ENSG00000171603_CLSTN1	ENSG00000171603	CLSTN1	1
ENSG00000178585	175	ENSG00000178585_CTNNBIP1	ENSG00000178585	CTNNBIP1	1
ENSG00000223989	176	ENSG00000223989_RP11-84A14.5	ENSG00000223989		1
ENSG00000162441	177	ENSG00000162441_LZIC	ENSG00000162441	LZIC	1
ENSG00000173614	178	ENSG00000173614_NMNAT1	ENSG00000173614	NMNAT1	1
ENSG00000162444	179	ENSG00000162444_RBP7	ENSG00000162444	RBP7	1
ENSG00000130939	180	ENSG00000130939_UBE4B	ENSG00000130939	UBE4B	1
ENSG00000054523	181	ENSG00000054523_KIF1B	ENSG00000054523	KIF1B	1
ENSG00000142657	182	ENSG00000142657_PGD	ENSG00000142657	PGD	1
ENSG00000271989	183	ENSG00000271989_RP4-736L20.3	ENSG00000271989		1
ENSG00000175279	184	ENSG00000175279_APITD1	ENSG00000175279	CENPS	1
ENSG00000251503	185	ENSG00000251503_APITD1-CORT	ENSG00000251503	CENPS-CORT	1
ENSG00000241563	186	ENSG00000241563_CORT	ENSG00000241563	CORT	1
ENSG00000160049	187	ENSG00000160049_DFFA	ENSG00000160049	DFFA	1
